algorithm,items_packed,running_time
density_based_hill_climber_error,88,1.1724941730499268
density_based_hill_climber_error,90,1.4244511127471924
density_based_hill_climber_error,85,0.9246342182159424
density_based_hill_climber_error,87,1.4663348197937012
density_based_hill_climber_error,85,1.1348090171813965
density_based_hill_climber_error,89,1.19240403175354
density_based_hill_climber_error,86,1.0210950374603271
density_based_hill_climber_error,87,0.6645829677581787
density_based_hill_climber_error,86,0.7337088584899902
density_based_hill_climber_error,86,0.8183999061584473
density_based_hill_climber_error,89,1.2516469955444336
density_based_hill_climber_error,87,1.1832818984985352
density_based_hill_climber_error,88,0.6004638671875
density_based_hill_climber_error,85,0.9277219772338867
density_based_hill_climber_error,88,1.1173858642578125
density_based,81,0.009571075439453125
density_based,80,0.009192943572998047
density_based,79,0.009226083755493164
density_based,80,0.008372068405151367
density_based,79,0.008896112442016602
density_based,78,0.009096145629882812
density_based,78,0.00925302505493164
density_based,78,0.008879661560058594
density_based,80,0.008622884750366211
density_based,79,0.008528709411621094
density_based,81,0.00821375846862793
density_based,78,0.009056568145751953
density_based,80,0.008322715759277344
density_based,78,0.008867025375366211
density_based,79,0.008929014205932617
density_based,78,0.009183883666992188
density_based,79,0.008783817291259766
density_based,80,0.008426189422607422
density_based,79,0.008566141128540039
density_based,80,0.008344888687133789
density_based,79,0.008878946304321289
density_based,79,0.00839996337890625
density_based,80,0.008240938186645508
density_based,79,0.00887298583984375
density_based,81,0.008147001266479492
density_based,79,0.008682966232299805
density_based,79,0.008628129959106445
density_based,80,0.008512020111083984
density_based,79,0.008804082870483398
density_based,77,0.009165048599243164
density_based,79,0.01173090934753418
density_based,79,0.01055288314819336
density_based,79,0.008595943450927734
density_based,80,0.008413076400756836
density_based,80,0.008488178253173828
density_based,80,0.009142875671386719
density_based,79,0.009343862533569336
density_based,79,0.009358882904052734
density_based,80,0.00833892822265625
density_based,78,0.009186983108520508
density_based,78,0.008804798126220703
density_based,79,0.009010076522827148
density_based,79,0.008569955825805664
density_based,79,0.008637189865112305
density_based,80,0.008462190628051758
density_based,79,0.008632183074951172
density_based,80,0.008304119110107422
density_based,79,0.008852243423461914
density_based,80,0.008306026458740234
density_based,78,0.008818864822387695
density_based,79,0.008697748184204102
density_based,79,0.008507966995239258
density_based,78,0.009057998657226562
density_based,80,0.00848078727722168
density_based,80,0.008414983749389648
density_based,77,0.009212970733642578
density_based,78,0.009138822555541992
density_based,79,0.008589744567871094
density_based,80,0.008519887924194336
density_based,80,0.008373022079467773
density_based,79,0.0088958740234375
density_based,79,0.008794069290161133
density_based,81,0.008087873458862305
density_based,80,0.008641958236694336
density_based,80,0.008195638656616211
density_based,80,0.00830388069152832
density_based,79,0.008763790130615234
density_based,80,0.008262157440185547
density_based,80,0.008255958557128906
density_based,80,0.008451223373413086
density_based,79,0.008720159530639648
density_based,78,0.00892186164855957
density_based,80,0.008569717407226562
density_based,78,0.009045600891113281
density_based,80,0.008838891983032227
density_based,80,0.008362054824829102
density_based,80,0.008430242538452148
density_based,80,0.00836038589477539
density_based,79,0.0086517333984375
density_based,79,0.008627891540527344
density_based,81,0.008025646209716797
density_based,80,0.008641958236694336
density_based,77,0.009263753890991211
density_based,78,0.00929713249206543
